2023-06-30_16-29-48: DF Exception: Sub: R1054J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1060M, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1061T, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1061T, Sess: 3, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1062J, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1062J, Sess: 3, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1063C, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1065J, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1066P, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1067P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1067P, Sess: 2, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-48: DF Exception: Sub: R1069M, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1065J, Sess: 4, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1006P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1006P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1010J, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1018P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-51: DF Exception: Sub: R1027J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
